asn,ip,timestamp,malware,src_port,dst_ip,dst_port,dst_host,proto
37440,105.234.172.49,24/12/2025 15:15,m0yv,52669,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.119.28,24/12/2025 1:01,android.vo1d2,57892,188.40.187.142,55590,,tcp
37440,105.234.178.156,24/12/2025 17:26,m0yv,4135,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.20,24/12/2025 17:47,m0yv,1406,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.72,24/12/2025 5:50,m0yv,1780,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.179.237,24/12/2025 8:13,m0yv,4445,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.116.238,24/12/2025 4:11,m0yv,26604,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.166.1,24/12/2025 9:55,m0yv,5875,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.181.97,24/12/2025 17:59,m0yv,24681,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.178.8,24/12/2025 11:29,vipersoftx,3623,195.201.179.203,80,yinhw.com,tcp
37440,137.115.7.168,24/12/2025 4:50,m0yv,1653,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.176.218,24/12/2025 3:45,m0yv,271,85.214.228.140,80,dlynankz.biz,tcp
37440,137.64.0.18,24/12/2025 21:53,m0yv,23098,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.60,24/12/2025 7:53,m0yv,24230,85.214.228.140,80,dlynankz.biz,tcp
36969,41.87.16.30,24/12/2025 23:26,android.vo1d2,49071,188.40.187.142,55590,,tcp
37440,129.140.0.5,24/12/2025 8:10,m0yv,7156,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.121,24/12/2025 23:57,m0yv,1725,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.12,24/12/2025 10:09,m0yv,2511,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.180.146,24/12/2025 8:44,m0yv,2138,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.11.118,24/12/2025 20:11,m0yv,6861,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.140,24/12/2025 10:33,m0yv,24322,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.7.228,24/12/2025 5:54,m0yv,675,85.214.228.140,80,dlynankz.biz,tcp
36969,41.87.16.203,24/12/2025 16:39,android.vo1d2,46714,188.40.187.142,55590,,tcp
37294,102.70.94.198,24/12/2025 21:32,m0yv,28700,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.99,24/12/2025 9:52,m0yv,4830,85.214.228.140,80,dlynankz.biz,tcp
